Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
34,Oshane Ximines,3,0,0,0,1,4.7,0,0,2023,27,NYG,3,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,2,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,4,4,3,2,0,2,0,2,1,20,0,0,53,4.7,52,11.4,LB
35,Zaire Barnes,4,0,0,0,0,0,0,0,2023,24,NYJ,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,32,6.6,LB
36,Anthony Barr,4,0,0,0,1,4.3,0,0,2023,31,MIN,4,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,5,5,5,0,87.5,2,2,3,3,0,0,0,0,0,0,0,0,49,4.3,11,2.5,LB
37,Chance Campbell,4,0,0,0,0,0.4,0,0,2023,24,TEN,4,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0.4,62,13.7,LB
38,Brenton Cox,4,0,0,0,0,0.4,0,0,2023,23,GNB,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.4,9,2.1,LB
39,Jalen Graham,4,0,0,0,0,0,0,0,2023,22,SFO,4,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13.4,LB
40,Thomas Incoom,4,0,0,0,0,1.8,0,0,2023,24,DEN,4,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,1,33.3,0,0,20,1.8,35,7.6,OLB
41,Joseph Jones,4,0,0,0,0,0,0,0,2023,29,TEN,4,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,78,17.2,LB
42,Matt Judon,4,4,2,1,2,16.2,0,0,2023,31,NWE,4,2,0,0,0,,0,0,,0,1,2,4,10,3,13,5,9,0,0,0,0,0,0,0,0,0,2,2,100,9,4.5,4.5,0,85.4,3.5,7,2,9,2,5,0,11,1,7.1,0,0,184,16.2,1,0.2,LB
43,Charlie Thomas,4,0,0,0,0,0,0,0,2023,23,CLE,4,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,40,7.8,LB
44,Benton Whitley,4,0,0,0,1,0.6,0,0,2023,24,"MIN,NYG",4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,,0,0,39.6,-2,0,0,3,1,0,1,1,1,100,0,0,14,0.6,32,3.6,LB
45,Yasir Abdullah,5,0,0,0,1,4,0,0,2023,23,JAX,5,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,0,0,0,7,1,1,0,2,0,0,0,0,45,4,0,0,LB
46,Cole Christiansen,5,0,0,0,0,0,0,0,2023,26,KAN,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,23,5.4,LB
47,Nakobe Dean,5,0.5,0,0,14,15.7,0,0,2023,23,PHI,5,4,0,0,0,,0,0,,0,0,0,0.5,22,8,30,2,1,0,0,0,0,0,0,0,0,0,14,11,78.6,87,7.9,6.2,0,92.6,2.4,42,45,6,0,0,0,1,1,3.2,0,0,182,15.7,32,7.2,LB
48,JoJo Domann,5,0,0,0,0,0,0,0,2023,26,TEN,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,77,17,LB
49,DeMarquis Gates,5,0,0,0,0,0,0,0,2023,27,CHI,5,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,102,23,LB
