,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
27,Jalen Elliott,2,0,0,0,0,0,0,0,0,0,2024,26,PIT,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,33,7.2,S
28,Kamal Hadden,2,0,0,0,0,0,0,0,0,0,2024,23,GNB,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,7,1.6,CB
29,Faion Hicks,2,0,0,0,1.2,0,0,0,0,0,2024,27,SEA,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,14,1.2,13,2.8,CB
30,Kareem Jackson,2,0,0,3,2.9,0,0,0,0,0,2024,36,BUF,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.3,4,4,1.3,0,42.4,9.3,4,0,2,0,0,0,0,1,20,0,0,32,2.9,27,6.1,S
31,Lamar Jackson,2,0,0,0,0,0,0,0,0,0,2024,26,ATL,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,18,4,CB
32,John Johnson,2,0,0,4,5.3,0,1,0,0,0,2024,29,LAR,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,4,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,75,17,5.7,4.3,0,42.7,4.8,9,8,0,0,0,0,0,1,11.1,0,0,59,5.3,0,0,S
33,Kelvin Joseph,2,0,0,0,0,0,0,0,0,0,2024,25,IND,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7.7,CB
34,Raheem Layne,2,0,0,0,2,0,0,0,0,0,2024,25,NYG,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,22,2,10,2.3,S
35,Emmanuel Moseley,2,0,0,0,0,0,0,0,0,0,2024,28,DET,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,29,6.3,CB
36,Ryan Neal,2,0,0,0,1.5,0,0,0,0,0,2024,29,TAM,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,17,1.5,20,4.2,S
37,Nik Needham,2,0,0,0,0.1,0,0,0,0,0,2024,28,MIA,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0.1,21,4.7,CB
38,Morice Norris,2,0,0,0,0.1,0,0,0,0,0,2024,24,DET,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,32,6.9,S
39,Gervarrius Owens,2,0,0,0,0.1,0,0,0,0,0,2024,25,TEN,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,4,0.9,S
40,Troy Pride Jr.,2,0,0,6,5.3,0,0,0,0,0,2024,26,DAL,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,50,22,7.3,3.7,0,59,11.8,4,18,0,0,0,0,0,1,25,0,0,58,5.3,4,0.8,CB
41,Darius Rush,2,0,0,0,0,0,0,0,0,0,2024,24,PIT,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,19,4.2,CB
42,Ameer Speed,2,0,0,0,0.3,0,0,0,0,0,2024,25,CHI,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,3,0.3,14,3.2,CB
43,Roderic Teamer,2,0,0,0,0,0,0,0,0,0,2024,27,NOR,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,,0,0,0,0,34,7.4,S
44,Kendall Williamson,2,0,0,1,1.7,0,0,0,0,0,2024,24,LAC,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,13,13,13,0,118.7,0,0,13,0,0,0,0,0,0,0,0,0,19,1.7,26,5.6,DB
45,Johnathan Abram,3,0,0,7,9.8,0,1,0,0,0,2024,28,NOR,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,8,18,0,0,1,30,0,2,0,0,0,0,0,0,0,0,30,0,7,4,57.1,55,13.8,7.9,1,82.4,5.1,10,45,4,0,0,0,0,3,14.3,0,0,115,9.8,38,8.3,S
46,Millard Bradford,3,0,0,0,0,0,0,0,0,0,2024,25,NOR,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8.7,S
47,Christian Braswell,3,0,0,2,3.5,0,0,0,0,0,2024,25,JAX,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,13,6.5,6.5,0,93.7,-3,-6,19,0,0,0,0,0,2,28.6,0,0,42,3.5,11,2.5,CB
