,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
144,Kitan Oladapo,9,0,0,0,6.2,0,0,0,0,0,2024,24,GNB,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,68,6.2,65,14.7,S
145,Keidron Smith,9,0,0,1,1.4,0,0,0,0,0,2024,25,DEN,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,17,17,17,0,118.7,5,5,12,1,0,0,0,0,1,12.5,0,0,16,1.4,122,25.8,DB
146,Cameron Sutton,9,0,0,29,23.4,0,0,0,0,0,2024,29,PIT,9,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,7,8,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,14,48.3,155,11.1,5.3,3,99.1,7.7,69,86,12,0,0,1,0,1,6.3,0,0,256,23.4,30,6.6,CB
147,Trey Taylor,9,0,0,0,0,0,0,0,0,0,2024,23,LVR,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,155,32.6,S
148,Zach Triner,9,0,0,0,0,0,0,0,0,0,2024,33,"MIA,TAM",9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,69,7.5,LS
149,K'Von Wallace,9,0,0,5,11.2,0,0,0,0,0,2024,27,SEA,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,100,72,14.4,14.4,0,118.7,8.6,43,29,0,0,0,0,0,1,6.3,0,0,127,11.2,139,29.6,S
150,Antoine Winfield Jr.,9,2,0,23,47.4,0,0,0,0,0,2024,26,TAM,9,9,1,0,0,,0,0,,0,0,6,0,0,,0,0,0,,0,2,34,26,60,2,4,0,0,0,3,0,1,58,1,0,0,0,0,58,0,23,17,73.9,242,14.2,10.5,2,136.5,10.7,141,101,24,1,2,2,5,9,13,0,0,529,47.4,0,0,SS
151,Julius Wood,9,0,0,0,0.5,0,0,0,0,0,2024,23,TEN,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0.5,115,25.2,S
152,Daryl Worley,9,0,0,22,43.4,0,1,0,0,0,2024,29,TEN,9,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,28,24,52,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,22,18,81.8,251,13.9,11.4,2,125.6,8.6,149,102,7,0,0,0,0,7,11.9,0,0,459,43.4,62,13.6,CB
153,Jakorian Bennett,10,0,0,44,41.3,0,0,0,0,0,2024,24,LVR,10,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,15,11,26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,23,52.3,233,10.1,5.3,0,67.7,10.8,155,78,0,0,0,0,0,5,16.1,0,0,461,41.3,0,0,CB
154,Darrick Forrest,10,0,0,6,6.8,0,0,0,0,0,2024,25,WAS,10,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,23,5.8,3.8,1,113.2,3.8,21,2,1,1,0,0,1,1,7.1,0,0,74,6.8,153,32.7,S
155,Sam Franklin,10,0,0,0,0.3,0,0,0,0,0,2024,28,CAR,10,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,4,0.3,241,50.4,S
156,Ronnie Harrison,10,0,0,0,0.3,0,0,0,0,0,2024,27,IND,10,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,197,42,S
157,Ka'dar Hollman,10,0,0,10,5.2,0,0,0,0,0,2024,30,"HOU,BAL",10,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,11,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,6,60,73,12.2,7.3,0,82.5,11.2,64,9,0,0,0,0,0,0,0,0,0,116,5.2,190,20,CB
158,Josh Jobe,10,0,0,50,39.2,0,1,0,0,0,2024,26,SEA,10,6,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,29,8,37,0,0,1,33,0,7,0,0,0,0,0,0,0,0,33,0,50,28,56,354,12.6,7.1,1,76.6,9.8,250,104,0,0,0,0,0,4,9.8,0,0,443,39.2,47,10,CB
159,Deane Leonard,10,0,0,8,6.5,0,0,0,0,0,2024,25,LAC,10,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,2,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,4,50,20,5,2.5,0,56.2,10.6,11,9,0,0,0,0,0,1,11.1,0,0,71,6.5,186,40.2,DB
160,Marte Mapu,10,0.5,0,22,43.5,0,1,0,0,0,2024,25,NWE,10,9,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0.5,23,23,46,0,1,1,6,0,6,0,0,0,0,3,0,0,0,6,0,22,11,50,128,11.6,5.8,0,49.1,12.7,88,40,10,2,0,0,3,3,6.1,0,0,486,43.5,113,25.9,SS
161,Damarri Mathis,10,0,0,6,6.9,0,0,0,0,0,2024,25,DEN,10,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,16.7,10,10,1.7,0,39.6,11.7,9,1,0,0,0,0,0,0,0,0,0,80,6.9,124,26.2,CB
162,Deantre Prince,10,0,0,13,8.4,0,0,0,0,0,2024,24,JAX,10,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,5,38.5,80,16,6.2,1,85.4,10.6,45,35,0,0,0,0,0,4,33.3,0,0,101,8.4,24,5.4,CB
163,Nehemiah Pritchett,10,0,0,18,13.4,0,0,0,0,0,2024,23,SEA,10,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,8,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,13,72.2,206,15.8,11.4,1,128.5,11.9,130,76,0,0,0,0,0,5,29.4,0,0,151,13.4,73,15.5,CB
164,D'Angelo Ross,10,0,0,13,16.7,0,0,0,0,0,2024,28,HOU,10,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,3,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,11,84.6,132,12,10.2,1,134.6,9.2,83,49,1,0,0,0,0,3,18.8,0,0,183,16.7,146,30.6,CB
165,Nick Scott,10,0,0,17,26.7,0,0,0,0,0,2024,29,CAR,10,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,16,14,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,14,82.4,186,13.3,10.9,1,131.9,10.2,101,85,2,1,0,0,1,6,16.7,0,0,325,26.7,172,36,S
166,Jimmie Ward,10,0,0,39,42.1,0,2,0,0,0,2024,33,HOU,10,10,1,0,0,,0,0,,0,0,6,0,0,,0,0,0,,0,0,32,16,48,5,0,2,67,1,4,0,0,0,0,0,0,0,0,67,0,39,27,69.2,346,12.8,8.9,3,101,6.5,176,170,4,0,0,0,0,2,4,0,0,461,42.1,4,0.8,S
167,Ugo Amadi,11,2,0,71,44.7,0,0,0,0,0,2024,27,NOR,11,5,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,2,52,13,65,6,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,71,46,64.8,469,10.2,6.6,3,97.7,7.9,279,190,24,1,0,1,3,5,7.1,0,0,527,44.7,42,9.2,S
168,Beau Brade,11,0,0,1,1,0,0,0,0,0,2024,22,BAL,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,30,30,30,0,118.7,-1,-1,31,1,0,0,0,0,1,25,0,0,11,1,207,43.6,S
169,Sydney Brown,11,0,0,1,7.5,0,1,0,0,0,2024,24,PHI,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,1,7,0,0,1,21,0,2,0,0,0,0,1,0,0,0,21,0,1,0,0,0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,79,7.5,205,45.8,S
170,Myles Bryant,11,0,0,8,6.3,0,0,0,0,0,2024,26,HOU,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,50,26,6.5,3.3,0,57.3,3.8,15,11,5,1,0,0,1,1,6.7,0,0,69,6.3,121,25.4,CB
171,Evan Deckers,11,0,0,0,0,0,0,0,0,0,2024,25,TAM,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,91,19,LS
172,Trevon Diggs,11,0,0,55,62,0,2,0,0,0,2024,26,DAL,11,11,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,35,7,42,0,0,2,1,0,11,0,0,0,0,0,0,0,0,1,0,55,33,60,398,12.1,7.2,3,85.3,9.3,186,212,1,0,0,1,0,9,17.6,0,0,685,62,0,0,RCB
173,Kendall Fuller,11,0,0,47,52.3,0,0,0,0,0,2024,29,MIA,11,11,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,37,13,50,1,0,0,0,0,7,0,1,1,0,0,0,0,0,1,0,47,32,68.1,358,11.2,7.6,1,97.7,9.2,252,106,3,0,0,0,0,4,7.4,0,0,556,52.3,18,4.1,RCB
174,Alohi Gilman,11,1,0,30,59.9,0,1,0,0,0,2024,27,LAC,11,11,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,34,16,50,1,0,1,18,0,4,0,0,0,0,0,0,0,0,18,0,30,21,70,358,17,11.9,2,118.5,12.1,234,124,1,0,0,0,1,8,13.8,0,0,655,59.9,25,5.4,FS
175,Antonio Hamilton,11,0,0,3,3.5,0,0,0,0,0,2024,31,ATL,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,48,16,16,2,158.3,13.7,41,7,3,0,0,0,0,1,12.5,0,0,39,3.5,166,37.2,CB
176,Nate Hobbs,11,0,0,51,49.9,0,1,0,0,0,2024,25,LVR,11,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,33,16,49,2,1,1,35,0,5,0,0,0,0,0,0,0,0,35,0,51,33,64.7,322,9.8,6.3,2,87.2,4.3,108,214,18,0,1,0,1,12,19.7,0,0,556,49.9,0,0,CB
177,DJ Ivey,11,0,0,5,5.2,1,0,0,0,0,2024,24,CIN,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,1,0,0,0,0,4,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,1,20,8,8,1.6,0,39.6,17.2,7,1,2,0,0,0,0,0,0,0,0,59,5.2,196,42.5,CB
178,Eddie Jackson,11,0,0,25,17.1,0,0,0,0,0,2024,31,"BAL,LAC",11,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,18,12,30,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,15,60,243,16.2,9.7,3,132.2,15.6,200,43,2,0,1,0,1,3,9.1,0,0,381,17.1,0,0,FS
179,Tarvarius Moore,11,0,0,0,0,0,0,0,0,0,2024,28,CHI,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,185,42.3,S
180,Robert Rochell,11,0,0,0,0.1,0,0,0,0,0,2024,26,GNB,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0.1,121,27.4,CB
181,Keith Taylor,11,0,0,5,7.3,0,0,0,0,0,2024,26,KAN,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,23,4.6,4.6,2,125.4,2.4,12,11,0,0,0,0,0,0,0,0,0,79,7.3,132,30.6,CB
182,Juan Thornhill,11,0,0,25,37,0,0,0,0,0,2024,29,CLE,11,11,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,31,18,49,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,16,64,280,17.5,11.2,3,141.7,12.6,157,123,1,0,0,0,0,5,9.3,0,0,401,37,20,4.3,FS
183,DJ Turner,11,0,0,48,44.6,0,0,0,0,0,2024,24,CIN,11,6,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,24,5,29,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,48,26,54.2,424,16.3,8.8,1,91,11.8,221,203,0,0,0,0,0,5,14.7,0,0,507,44.6,78,16.9,CB
184,Sam Webb,11,0,0,0,1.2,0,0,0,0,0,2024,26,LVR,11,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,13,1.2,108,22.7,CB
185,Tre'Davious White,11,0,0,28,18,0,0,0,0,0,2024,29,"LAR,BAL",11,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,16,6,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,17,60.7,205,12.1,7.3,4,122.8,10.6,154,51,1,0,0,0,0,5,18.5,0,0,404,18,21,2.3,DB
186,Marcus Williams,11,0,0,24,53,0,0,0,0,0,2024,28,BAL,11,9,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,26,7,33,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,24,16,66.7,295,18.4,12.3,3,148.4,13.1,242,53,1,0,0,0,0,2,5.7,0,0,601,53,1,0.2,FS
187,Tyson Campbell,12,0,0,55,64.1,0,0,0,0,0,2024,24,JAX,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,42,17,59,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,55,34,61.8,473,13.9,8.6,2,101.6,11,315,158,1,0,0,0,0,4,6.3,0,0,767,64.1,6,1.4,RCB
188,Chuck Clark,12,1,0,28,61.8,0,0,0,0,0,2024,29,NYJ,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,38,31,69,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,28,19,67.9,239,12.6,8.5,2,118,6.4,100,139,10,0,0,0,1,6,8,0,0,709,61.8,9,2.1,SS
189,Jamel Dean,12,0,0,66,62.4,0,1,0,0,0,2024,28,TAM,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,45,14,59,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,66,46,69.7,511,11.1,7.7,1,91.2,10.8,371,140,2,0,0,0,0,4,6.3,0,0,697,62.4,22,4.6,LCB
190,Elijah Hicks,12,0,0,14,33.3,0,0,0,0,0,2024,25,CHI,12,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,24,16,40,0,0,0,0,0,2,0,2,28,0,0,0,0,0,28,0,14,7,50,141,20.1,10.1,1,109.5,17.3,115,26,1,0,0,0,0,1,2.4,0,0,356,33.3,177,40.5,FS
191,Taron Johnson,12,1,0,54,58.5,0,2,0,0,0,2024,28,BUF,12,12,2,0,0,,0,0,,0,0,12,0,0,,0,0,0,,0,1,42,23,65,1,1,2,23,1,5,0,1,0,1,1,0,0,0,23,0,54,38,70.4,374,9.8,6.9,1,80.3,6.9,179,195,11,1,0,0,2,2,3,0,0,646,58.5,6,1.3,CB
192,George Odum,12,0,0,11,12.9,0,0,0,0,0,2024,31,SFO,12,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,14,2,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,7,63.6,211,30.1,19.2,2,146.8,17.7,129,82,0,0,0,0,0,1,5.9,0,0,138,12.9,214,47.6,S
193,Tyler Owens,12,0,0,0,0,0,0,0,0,0,2024,23,WAS,12,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,7,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,243,51.9,S
194,Jalen Pitre,12,0,0,55,60.3,0,1,0,0,0,2024,25,HOU,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,44,21,65,6,2,1,10,0,8,0,0,0,0,1,0,0,0,10,0,55,35,63.6,334,9.5,6.1,4,97.1,5.3,154,180,44,1,2,0,3,14,17.7,0,0,660,60.3,8,1.7,S
195,Decamerion Richardson,12,0,0,46,50.1,0,0,0,0,0,2024,23,LVR,12,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,27,19,46,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,30,65.2,459,15.3,10,3,119.7,13.2,312,147,0,0,0,0,0,4,8,0,0,559,50.1,89,18.7,RCB
196,Rex Sunahara,12,0,0,0,0,0,0,0,0,0,2024,28,CLE,12,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,93,20,LS
197,Charvarius Ward,12,0,0,52,65.1,0,0,0,0,0,2024,28,SFO,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,38,16,54,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,52,32,61.5,389,12.2,7.5,5,116.6,10.5,294,95,0,0,0,0,0,2,3.6,0,0,695,65.1,4,0.9,LCB
198,Jordan Whitehead,12,0,0,34,65.5,0,0,0,0,0,2024,27,TAM,12,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,49,30,79,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,23,67.6,307,13.3,9,3,125.5,7.8,156,151,22,0,1,0,1,3,3.7,0,0,732,65.5,1,0.2,FS
199,Darious Williams,12,0,0,59,68.7,0,1,0,0,0,2024,31,LAR,12,11,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,31,14,45,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,59,38,64.4,510,13.4,8.6,3,101.7,9.7,304,206,0,0,0,0,0,5,10,0,0,766,68.7,0,0,LCB
200,Charles Woods,12,0,0,0,1.2,0,0,0,0,0,2024,24,LAR,12,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,33.3,0,0,13,1.2,169,38.4,CB
201,Daijahn Anthony,13,0,0,1,1,0,0,0,0,0,2024,24,CIN,13,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,17,0,0,0,0,0,0,0,0,0,0,0,11,1,168,36.4,S
202,Tre Brown,13,0,0,26,25.6,0,0,0,0,0,2024,27,SEA,13,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,21,5,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,17,65.4,261,15.4,10,2,124,10.3,195,66,1,0,0,0,0,2,7.1,0,0,290,25.6,101,21.5,CB
203,Michael Carter II,13,0,0,27,24.9,0,0,0,0,0,2024,25,NYJ,13,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,20,4,24,1,0,0,0,0,1,0,1,7,0,0,0,0,0,7,0,27,17,63,137,8.1,5.1,0,75.7,8.4,88,49,9,1,0,0,1,5,17.2,0,0,286,24.9,10,2.3,CB
204,Ronald Darby,13,0,0,61,55.1,0,0,0,0,0,2024,30,JAX,13,12,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,36,10,46,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,61,42,68.9,567,13.5,9.3,4,120,10.8,345,222,3,0,0,0,0,1,2.1,0,0,659,55.1,57,12.9,LCB
205,Carlton Davis,13,0,0,76,63.6,0,2,0,0,0,2024,28,DET,13,13,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,42,14,56,2,0,2,0,0,11,0,2,49,0,1,0,0,0,49,0,76,42,55.3,567,13.5,7.5,2,77,10.1,385,182,1,0,0,0,0,7,11.1,0,0,697,63.6,7,1.5,LCB
206,Andrew DePaola,13,0,0,0,0,0,0,0,0,0,2024,37,MIN,13,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25.3,LS
207,Kyle Dugger,13,1,0,46,67.9,0,0,0,0,0,2024,28,NWE,13,13,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,55,26,81,8,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,46,35,76.1,357,10.2,7.8,6,137.4,6.5,194,163,23,0,0,1,1,15,15.6,0,0,759,67.9,26,5.9,FS
208,Kaiir Elam,13,0,0,30,27.6,0,0,0,0,0,2024,23,BUF,13,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,17,9,26,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,30,21,70,240,11.4,8,1,104.9,9.1,185,55,3,0,0,0,0,1,3.7,0,0,305,27.6,65,14.6,CB
209,Tyrek Funderburk,13,0,0,16,14.5,0,0,0,0,0,2024,24,TAM,13,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,4,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,16,15,93.8,201,13.4,12.6,2,158.3,10.1,113,88,0,0,0,0,0,4,22.2,0,0,162,14.5,88,18.4,CB
210,Will Harris,13,0,0,44,73.1,0,1,0,0,0,2024,29,NOR,13,13,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,54,20,74,3,0,1,7,0,5,0,0,0,0,0,0,0,0,7,0,44,29,65.9,336,11.6,7.6,0,79.4,6.9,131,205,20,0,0,0,0,9,10.8,0,0,861,73.1,78,17,SS
211,Rayshawn Jenkins,13,2,0,31,48.6,0,0,0,0,0,2024,30,SEA,13,9,1,0,0,,0,0,,0,0,6,0,0,,0,0,0,,0,2,34,19,53,2,2,0,0,0,0,0,1,102,1,0,0,0,0,102,0,31,25,80.6,269,10.8,8.7,1,113.6,6.4,107,162,23,0,0,0,2,7,11.7,0,0,550,48.6,53,11.3,SS
212,David Long,13,0,0,0,0.8,0,0,0,0,0,2024,26,IND,13,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,9,0.8,106,22.6,CB
213,Greg Newsome II,13,0,0,51,53,0,1,0,0,0,2024,24,CLE,13,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,24,3,27,0,0,1,-2,0,5,0,0,0,0,0,0,0,0,-2,0,51,32,62.7,491,15.3,9.6,4,112.5,10.1,251,240,9,1,0,0,1,7,20.6,0,0,575,53,23,4.9,CB
214,Tyler Nubin,13,0,0,40,72.1,0,0,0,0,0,2024,23,NYG,13,13,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,57,41,98,4,0,0,0,0,1,0,1,2,0,1,0,0,0,2,0,40,26,65,340,13.1,8.5,0,91.7,7,192,148,7,0,0,0,0,5,4.9,0,0,790,72.1,106,23.9,FS
215,Darnell Savage Jr.,13,0,0,41,63.9,0,1,0,0,0,2024,27,JAX,13,13,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,40,11,51,2,0,1,16,0,6,0,0,0,0,0,0,0,0,16,0,41,24,58.5,374,15.6,9.1,5,118.3,10.9,226,148,3,0,0,0,0,5,8.9,0,0,764,63.9,7,1.6,FS
216,Tykee Smith,13,0,0,64,54.8,0,2,0,0,0,2024,23,TAM,13,6,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,38,16,54,4,2,2,0,0,7,0,0,0,0,3,0,0,0,0,0,64,44,68.8,437,9.9,6.8,5,100.8,6.7,265,172,38,4,2,0,6,6,10,0,0,612,54.8,29,6.1,S
217,Juanyeh Thomas,13,0,0,5,8.5,0,0,187,1,0,2024,24,DAL,13,0,1,0,0,,0,0,,0,0,6,7,187,26.7,1,0,0,,0,0,10,4,14,0,0,0,0,0,1,0,0,0,0,1,1,0,4,191,187,5,3,60,18,6,3.6,1,106.7,7.6,14,4,2,0,0,0,0,2,12.5,0,0,94,8.5,284,58.7,S
218,Levi Wallace,13,0,0,30,26.6,0,0,0,0,0,2024,29,DEN,13,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,20,8,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30,20,66.7,271,13.6,9,1,106.4,8.9,138,133,1,0,0,0,0,0,0,0,0,307,26.6,49,10.4,CB
