,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
72,Efe Obada,6,0,0,0,0,7.8,0,0,2024,32,WAS,6,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,84,7.8,5,1.1,DE
73,Charles Omenihu,6,1,0,0,0,20.8,0,0,2024,27,KAN,6,1,0,0,0,,0,0,,0,0,0,1,4,2,6,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,2,1,0,4,2,25,0,0,225,20.8,0,0,DE
74,Darius Robinson,6,1,0,0,0,16.8,0,0,2024,23,ARI,6,0,0,0,0,,0,0,,0,0,0,1,4,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,1,0,0,0,0,183,16.8,0,0,DL
75,Dominique Robinson,6,0,0,0,0,7.9,0,0,2024,26,CHI,6,1,0,0,0,,0,0,,0,0,0,0,4,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,2,0,0,0,0,84,7.9,63,14.4,DL
76,Jaquelin Roy,6,2,0,0,0,12.6,0,0,2024,24,NWE,6,1,0,0,0,,0,0,,0,0,0,2,12,5,17,3,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,2,1,5.6,0,0,141,12.6,4,0.9,DT
77,Ben Stille,6,1,0,0,0,5.4,0,0,2024,27,"ARI,TAM",6,0,0,0,0,,0,0,,0,0,0,1,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,1,1,20,0,0,120,5.4,8,0.9,DL
78,Josh Uche,6,0,0,0,4,8,0,0,2024,26,KAN,6,0,0,0,0,,0,0,,0,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,4,3,75,20,6.7,5,0,85.4,-1,-9,29,7,1,0,0,1,0,0,0,0,87,8,40,9.3,DE
79,Myles Adams,7,1,0,0,0,3.7,0,0,2024,26,"DET,SEA",7,0,0,0,0,,0,0,,0,0,0,1,4,3,7,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,3,0,0,0,0,82,3.7,12,1.3,DL
80,Matthew Butler,7,0,0,0,1,9.1,0,0,2024,25,LVR,7,1,0,0,0,,0,0,,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,,11,0,72.9,6,6,5,0,0,0,0,0,0,0,0,0,101,9.1,27,5.7,DT
81,Brenton Cox,7,4,0,0,1,14.7,0,0,2024,24,GNB,7,0,0,0,0,,0,0,,0,0,0,4,8,4,12,5,7,0,0,0,0,0,0,0,0,1,1,1,100,0,0,0,0,79.2,0,0,0,0,1,3,0,8,0,0,0,0,160,14.7,40,9,DL
82,Neil Farrell,7,0,0,0,0,6.1,0,0,2024,26,MIA,7,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,2,0,0,0,0,65,6.1,0,0,DT
83,Jonathan Harris,7,0,0,0,1,10.9,0,0,2024,28,CAR,7,0,0,0,0,,0,0,,0,0,0,0,4,6,10,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,39.6,-1,0,0,0,0,1,0,1,1,9.1,0,0,133,10.9,25,5.2,DE
