,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
32,Swayze Bozeman,3,0,0,0,1,0.6,0,0,2024,26,KAN,3,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,100,3,3,3,0,79.2,2,2,1,0,0,0,0,0,0,0,0,0,7,0.6,57,13.2,LB
33,Cameron Goode,3,0,0,0,0,1.1,0,0,2024,26,MIA,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,1,0,0,0,0,0,0,0,12,1.1,51,11.5,LB
34,Christian Harris,3,1,0,0,12,15.7,0,0,2024,23,HOU,3,3,0,0,0,,0,0,,0,0,0,1,13,7,20,1,1,0,0,0,0,0,0,0,0,0,12,11,91.7,161,14.6,13.4,0,118.7,3,36,125,11,0,0,0,1,3,13,0,0,172,15.7,0,0,LB
35,Tarron Jackson,3,0,0,0,0,2.3,0,0,2024,26,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,0,0,0,0,1,100,0,0,28,2.3,21,4.4,OLB
36,Eku Leota,3,1,0,0,2,3,0,0,2024,25,"CAR,PIT",3,1,0,0,0,,0,0,,0,0,0,1,5,0,5,3,1,0,0,0,0,0,0,0,0,0,2,2,100,8,4,4,0,83.3,0,0,8,3,0,0,0,1,0,0,0,0,69,3,24,2.6,OLB
37,Tanner Muse,3,0,0,0,1,0,0,0,2024,28,JAX,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12.6,LB
38,Adetokunbo Ogundeji,3,0,0,0,0,2.3,0,0,2024,26,PIT,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,3,0,0,1,0,0,,0,0,25,2.3,6,1.3,OLB
39,Monty Rice,3,0,0,0,0,0.4,0,0,2024,25,NWE,3,1,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0.4,42,9.6,OLB
40,Curtis Robinson,3,0,0,0,0,0,0,0,2024,26,SFO,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,59,13.1,LB
41,Alex Singleton,3,0,0,0,8,16.5,0,1,2024,31,DEN,3,3,0,0,0,,0,0,,0,0,0,0,17,14,31,1,1,1,21,0,1,0,0,0,0,0,8,7,87.5,70,10,8.8,1,103.1,2.9,10,60,12,0,1,0,1,4,11.4,0,0,190,16.5,8,1.7,LB
42,Rashad Weaver,3,0,0,0,0,1.3,0,0,2024,27,HOU,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,14,1.3,26,5.5,OLB
43,Mitchell Agude,4,0,0,0,1,3.6,0,0,2024,25,DET,4,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,100,1,1,1,0,79.2,-6,-6,7,1,0,0,0,0,2,40,0,0,40,3.6,55,11.9,LB
44,Boogie Basham,4,0,0,0,0,7.9,0,0,2024,27,NYG,4,0,0,0,0,,0,0,,0,0,0,0,1,8,9,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,1,1,0,0,0,0,86,7.9,6,1.4,OLB
45,Jamin Davis,4,1,0,0,1,1.8,0,0,2024,26,MIN,4,0,0,0,0,,0,0,,0,0,0,1,4,1,5,1,1,0,0,0,0,0,0,0,0,0,1,1,100,6,6,6,0,91.7,5,5,1,1,0,0,0,1,1,16.7,0,0,21,1.8,38,8.4,LB
46,SirVocea Dennis,4,1,0,0,11,9.3,0,0,2024,24,TAM,4,0,0,0,0,,0,0,,0,0,0,1,14,8,22,1,1,0,0,0,0,0,0,0,0,0,11,10,90.9,92,9.2,8.4,0,101.5,1.5,23,69,12,1,0,0,2,2,8.3,0,0,104,9.3,55,11.5,LB
